Tipo de operación,Tipo de propiedad,Habitaciones,Baños,Área total,Área de terreno,Año de construcción,Estrato,latitud,longitud,departamento,ciudad,direccion,precio,descripcion,parqueadero,Nivel,Área construida
Arriendo,Apartamento,4,3,140 m²,140 m²,2014,5,6.179304,-75.586537,Antioquia,Envigado,"Carrera 46A 29S 54, Jardines, Envigado, Antioquia, COL",5600000,"Apartamento dúplex en Envigado en renta  ofrece 140 metros cuadrados de comodidad y estilo. Cuenta con 4 habitaciones amplias, todas con vestier, además de una habitación de servicio independiente. Dispone de 4 baños bien distribuidos que garantizan privacidad y funcionalidad para toda la familia.

El inmueble también incluye un balcón ideal para disfrutar del aire libre, zona de ropas independiente, dos parqueaderos y un cuarto útil para almacenamiento adicional. Su diseño moderno y distribución inteligente lo convierten en una excelente opción para quienes buscan espacio, confort y ubicación privilegiada en una de las zonas más atractivas del sur del Valle de Aburrá.",1,,
Arriendo,Apartamento,4,3,140 m²,140 m²,2014,5,6.179304,-75.586537,Antioquia,Envigado,"Carrera 46A 29S 54, Jardines, Envigado, Antioquia, COL",5600000,"Apartamento dúplex en Envigado en renta  ofrece 140 metros cuadrados de comodidad y estilo. Cuenta con 4 habitaciones amplias, todas con vestier, además de una habitación de servicio independiente. Dispone de 4 baños bien distribuidos que garantizan privacidad y funcionalidad para toda la familia.

El inmueble también incluye un balcón ideal para disfrutar del aire libre, zona de ropas independiente, dos parqueaderos y un cuarto útil para almacenamiento adicional. Su diseño moderno y distribución inteligente lo convierten en una excelente opción para quienes buscan espacio, confort y ubicación privilegiada en una de las zonas más atractivas del sur del Valle de Aburrá.",1,,
Arriendo,Apartamento,2,2,,,2020,3,6.148527,-75.61021,Antioquia,Sabaneta,"Calle 65 Sur 39 235, La Doctora, Sabaneta, Antioquia, COL",2900000,"Apartamento en renta está ubicado en Sabaneta, en una zona estratégica cerca de supermercados, colegios y con fácil acceso a las principales avenidas. Con un área de 82 metros cuadrados, ofrece un espacio cómodo y funcional ideal para familias o parejas que buscan tranquilidad sin alejarse de la ciudad.

Cuenta con 2 habitaciones, 2 baños, parqueadero privado, cuarto útil y un amplio balcón con una hermosa vista. Es un lugar perfecto para disfrutar del hogar y la comodidad de tener todo cerca. ¡Una excelente oportunidad para vivir en uno de los sectores con mayor crecimiento del sur del Valle de Aburrá! Recuerda que te ayudamos en todo el proceso de  vivivenda.",1,,
Arriendo,Apartamento,2,2,,,2020,3,6.148527,-75.61021,Antioquia,Sabaneta,"Calle 65 Sur 39 235, La Doctora, Sabaneta, Antioquia, COL",2900000,"Apartamento en renta está ubicado en Sabaneta, en una zona estratégica cerca de supermercados, colegios y con fácil acceso a las principales avenidas. Con un área de 82 metros cuadrados, ofrece un espacio cómodo y funcional ideal para familias o parejas que buscan tranquilidad sin alejarse de la ciudad.

Cuenta con 2 habitaciones, 2 baños, parqueadero privado, cuarto útil y un amplio balcón con una hermosa vista. Es un lugar perfecto para disfrutar del hogar y la comodidad de tener todo cerca. ¡Una excelente oportunidad para vivir en uno de los sectores con mayor crecimiento del sur del Valle de Aburrá! Recuerda que te ayudamos en todo el proceso de  vivivenda.",1,,
Arriendo,Apartamento,2,3,117 m²,,2024,6,6.216726,-75.553827,Antioquia,Medellín,"Via Las Palmas Al Lado Derecho De Primavera Kr 22 16 30, Medellín, Antioquia, COL",7000000,"Podium es un exclusivo proyecto residencial ubicado estratégicamente en la vía Las Palmas de Medellín, uno de los corredores viales más importantes de la ciudad. Esta ubicación privilegiada ofrece fácil acceso a las zonas oriental, occidental, central y sur de Medellín, y se beneficia de su proximidad al Túnel de Oriente, conectando el Valle de Aburrá con el oriente antioqueño, situándose a solo 20 minutos del aeropuerto.",1,,
Arriendo,Apartamento,2,3,117 m²,,2024,6,6.216726,-75.553827,Antioquia,Medellín,"Via Las Palmas Al Lado Derecho De Primavera Kr 22 16 30, Medellín, Antioquia, COL",7000000,"Podium es un exclusivo proyecto residencial ubicado estratégicamente en la vía Las Palmas de Medellín, uno de los corredores viales más importantes de la ciudad. Esta ubicación privilegiada ofrece fácil acceso a las zonas oriental, occidental, central y sur de Medellín, y se beneficia de su proximidad al Túnel de Oriente, conectando el Valle de Aburrá con el oriente antioqueño, situándose a solo 20 minutos del aeropuerto.",1,,
Arriendo,Casa,5,6,600 m²,3.500 m²,2017,6,6.247638,-75.565815,Antioquia,Medellín,"Calle 49, La Candelaria, Medellín, Antioquia, COL",30000000,"¿Estas Buscando una casa Amoblada para rentar campestre y que tenga vista a la ciudad?

Ésta es la propiedad indicada para ti...

Porteria 24 horas
Cancha de tenis, mini futbol, salón social, 2 parques infantiles.
Lote de 3500m2 aprox
Casa de dos pisos con 600m2 aprox
5 habitaciones con baño y vestier (4 con balcon) (3 con mansarda) (1 con dos vertieres) (3 con escritorios)
1 Sala
2 comedores
2 zonas de televisión 
1 Cocina
1 Biblioteca 
1 Cuarto de linos
2 Zonas de ropas 
1 Alcoba de servicio con baño
1 Gimnasio dotado 
1Turco
1 Jacuzzi en baño alcoba principal
1 Oficina con mesa de juntas y dos escritorios 
2 Parqueaderos cubiertos
8 parqueaderos descubiertos
2 cuartos útiles
1 Alacena
1 Casa de muñecas
1 Parque infantil
Terrazas exteriores con vista a todo el valle de aburra, 
Con comedor 10 puestos, sala con tres sofás y mesa de centro
bbq, horno de pizza.

EXCELENTE CLIMA, UBICACION Y VISTA; TOTALMENTE DOTADA CON MENAJE Y MOBILIARIO DE LUJO BRINDANDO CONFORT Y ASIENDO DE LA PROPIEDAD UN LUGAR TRANQUILO Y ACOGEDOR.",1,,
Arriendo,Casa,5,6,600 m²,3.500 m²,2017,6,6.247638,-75.565815,Antioquia,Medellín,"Calle 49, La Candelaria, Medellín, Antioquia, COL",30000000,"¿Estas Buscando una casa Amoblada para rentar campestre y que tenga vista a la ciudad?

Ésta es la propiedad indicada para ti...

Porteria 24 horas
Cancha de tenis, mini futbol, salón social, 2 parques infantiles.
Lote de 3500m2 aprox
Casa de dos pisos con 600m2 aprox
5 habitaciones con baño y vestier (4 con balcon) (3 con mansarda) (1 con dos vertieres) (3 con escritorios)
1 Sala
2 comedores
2 zonas de televisión 
1 Cocina
1 Biblioteca 
1 Cuarto de linos
2 Zonas de ropas 
1 Alcoba de servicio con baño
1 Gimnasio dotado 
1Turco
1 Jacuzzi en baño alcoba principal
1 Oficina con mesa de juntas y dos escritorios 
2 Parqueaderos cubiertos
8 parqueaderos descubiertos
2 cuartos útiles
1 Alacena
1 Casa de muñecas
1 Parque infantil
Terrazas exteriores con vista a todo el valle de aburra, 
Con comedor 10 puestos, sala con tres sofás y mesa de centro
bbq, horno de pizza.

EXCELENTE CLIMA, UBICACION Y VISTA; TOTALMENTE DOTADA CON MENAJE Y MOBILIARIO DE LUJO BRINDANDO CONFORT Y ASIENDO DE LA PROPIEDAD UN LUGAR TRANQUILO Y ACOGEDOR.",1,,
Arriendo,Apartamento,3,3,102 m²,,2022,4,6.147811,-75.609421,Antioquia,Sabaneta,"Calle 65 Sur, Las Lomitas, Sabaneta, Antioquia, COL",4000000,"Excelente apartamento para estrenar ubicado en un sector privilegiado del municipio de Sabaneta, un proyecto exclusivo compuesta de 1 sola torre, 4 apartamentos por piso ubicado en el sector del Carmelo. Una zona residencial con fácil acceso, cercanía a centros comerciales, restaurantes, colegios, hospitales, iglesia y a 5 min del parque principal del municipio con excelentes acabados modernos y una vista única hacia todo el valle de aburra.",1,,
Arriendo,Apartamento,3,3,102 m²,,2022,4,6.147811,-75.609421,Antioquia,Sabaneta,"Calle 65 Sur, Las Lomitas, Sabaneta, Antioquia, COL",4000000,"Excelente apartamento para estrenar ubicado en un sector privilegiado del municipio de Sabaneta, un proyecto exclusivo compuesta de 1 sola torre, 4 apartamentos por piso ubicado en el sector del Carmelo. Una zona residencial con fácil acceso, cercanía a centros comerciales, restaurantes, colegios, hospitales, iglesia y a 5 min del parque principal del municipio con excelentes acabados modernos y una vista única hacia todo el valle de aburra.",1,,
Arriendo,Apartamento,2,3,130 m²,,,,6.181771,-75.574725,Antioquia,Medellín,"Calle 20Bs 38 89, El Diamante No. 2, Medellín, Antioquia, COL",6500000,"Renta espectacular apartamento en El Poblado, en el sector de La Frontera. Tiene dos cómodas habitaciones, cada una con baño y vestier, amplia zona social compuesta por una cocina abierta, sala, comedor y un amplio balcón con una vista espectacular hacia el sur del valle de aburrá, el apartamento se encuentra en el piso 17. Tiene además dos parqueaderos cubiertos y un amplio cuarto útil ubicado en el mismo piso del apartamento.
El apartamento está en unidad cerrada con vigilancia las 24 horas. Tiene piscina climatizada, turco, gimnasio, salón social, parque infantil, zonas verdes y zonas de mascotas. El apartamento está ubicado en una zona estratégica, con excelentes vías de acceso por la Avenida El Poblado y Las Transversales y con facilidad de transporte público. Cerca se encuentran centros comerciales, supermercados, zonas de restaurantes, colegios, Universidades y hoteles.",0,17,
Arriendo,Apartamento,2,3,130 m²,,,,6.181771,-75.574725,Antioquia,Medellín,"Calle 20Bs 38 89, El Diamante No. 2, Medellín, Antioquia, COL",6500000,"Renta espectacular apartamento en El Poblado, en el sector de La Frontera. Tiene dos cómodas habitaciones, cada una con baño y vestier, amplia zona social compuesta por una cocina abierta, sala, comedor y un amplio balcón con una vista espectacular hacia el sur del valle de aburrá, el apartamento se encuentra en el piso 17. Tiene además dos parqueaderos cubiertos y un amplio cuarto útil ubicado en el mismo piso del apartamento.
El apartamento está en unidad cerrada con vigilancia las 24 horas. Tiene piscina climatizada, turco, gimnasio, salón social, parque infantil, zonas verdes y zonas de mascotas. El apartamento está ubicado en una zona estratégica, con excelentes vías de acceso por la Avenida El Poblado y Las Transversales y con facilidad de transporte público. Cerca se encuentran centros comerciales, supermercados, zonas de restaurantes, colegios, Universidades y hoteles.",0,17,
Arriendo,Apartamento,2,2,70 m²,,,,6.346105,-75.508026,Antioquia,Copacabana,"Calle 48 61, San Francisco, Copacabana, Antioquia, COL",1600000,"Codigo Inmueble 1044 Herencia inmobiliaria s.a.s ofrece Apartamento 70 mts. en ArriendoCopacabana Sector Machado
Sala comedorCocina integral Abierta2 habitaciones la principal cuenta con baño privado y closetZona de ropas, baño socialBalcón muy amplio y con excelente vista hacia el centro comercial puerta del norteParqueadero privado y cuarto útil
Piscina para adultos y niños, saunaGimnasio Dotado, juegos infantilesZona de Mascotas, Salón de GameSalón social, locales comerciales
ubicado en el sector Machado, una zona privilegiada en el norte del Valle de Aburrá. Se encuentra a pocos kilómetros del Centro Comercial Puerta del Norte y de la estación Niquía del Metro. Excelente rutas de transporte público y rutas integradas a las estaciones del metro Niquia y madera",0,,70 m²
Arriendo,Apartamento,2,2,70 m²,,,,6.346105,-75.508026,Antioquia,Copacabana,"Calle 48 61, San Francisco, Copacabana, Antioquia, COL",1600000,"Codigo Inmueble 1044 Herencia inmobiliaria s.a.s ofrece Apartamento 70 mts. en ArriendoCopacabana Sector Machado
Sala comedorCocina integral Abierta2 habitaciones la principal cuenta con baño privado y closetZona de ropas, baño socialBalcón muy amplio y con excelente vista hacia el centro comercial puerta del norteParqueadero privado y cuarto útil
Piscina para adultos y niños, saunaGimnasio Dotado, juegos infantilesZona de Mascotas, Salón de GameSalón social, locales comerciales
ubicado en el sector Machado, una zona privilegiada en el norte del Valle de Aburrá. Se encuentra a pocos kilómetros del Centro Comercial Puerta del Norte y de la estación Niquía del Metro. Excelente rutas de transporte público y rutas integradas a las estaciones del metro Niquia y madera",0,,70 m²
